spam,to_multiple,from,cc,sent_email,image,attach,dollar,winner,inherit,viagra,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number
0,0,1,0,0,0,0,0,no,0,0,0,11.37,202,1,0,0,0,0,big
0,0,1,0,0,0,0,0,no,0,0,0,10.504,202,1,0,0,0,1,small
0,0,1,0,0,0,0,0,no,0,0,0,13.256,255,1,0,0,0,48,small
0,0,1,0,0,0,0,0,no,0,0,2,1.231,29,0,0,0,0,1,none
0,0,1,0,0,0,0,0,no,0,0,2,1.091,25,0,0,0,0,1,none
0,0,1,0,0,0,0,4,no,1,0,0,7.773,192,1,0,0,0,6,small
0,1,1,0,1,0,0,0,no,0,0,0,4.837,193,1,0,0,0,1,big
0,0,1,0,0,0,0,0,no,0,0,0,2.643,68,1,0,0,0,0,small
0,0,1,0,1,0,0,0,no,0,0,0,0.869,25,1,0,0,0,2,small
0,1,1,1,1,1,1,0,no,0,0,0,7.421,237,1,0,0,0,18,small
0,0,1,1,1,0,0,0,no,0,0,0,15.075,354,1,1,0,0,10,small
0,0,1,0,0,0,0,0,no,0,0,0,3.051,69,0,0,0,0,1,small
0,0,1,1,0,0,0,0,no,0,0,0,4.02,79,0,1,0,0,1,small
0,0,1,2,0,0,0,2,no,0,0,0,19.693,330,1,1,0,0,4,big
0,0,1,1,1,0,0,0,no,0,0,0,18.38,481,1,1,0,0,10,small
0,0,1,2,0,0,0,0,no,0,0,0,13.89,225,1,1,0,0,0,small
0,0,1,0,1,0,0,0,no,0,0,0,0.596,33,0,1,0,0,2,small
0,0,1,0,0,0,0,0,no,0,0,0,4.56,64,1,0,0,0,0,none
0,0,1,0,0,0,0,0,no,0,0,0,2.192,85,1,0,0,0,3,big
0,0,1,0,0,2,2,9,no,0,0,0,11.453,344,1,0,0,0,4,big
0,0,1,0,1,0,0,0,no,0,0,0,0.2,10,0,1,0,0,0,small
0,0,1,0,0,0,0,0,no,0,0,0,4.938,69,1,0,0,0,0,none
0,0,1,0,0,0,0,0,no,0,0,0,3.796,71,1,0,0,0,4,small
0,0,1,0,0,0,0,0,no,0,0,0,2.228,45,0,1,0,0,1,small
0,0,1,2,1,0,1,0,no,0,0,0,0.235,17,0,0,0,0,0,none
0,0,1,0,0,0,0,0,no,0,0,0,10.459,191,1,0,0,0,0,big
0,0,1,1,0,0,0,0,no,0,0,0,3.959,81,0,1,0,0,1,small
0,0,1,0,0,0,0,0,no,0,0,0,0.506,18,0,0,0,0,0,none
0,0,1,2,0,0,0,0,no,0,0,0,4.549,67,0,1,0,0,1,small
0,0,1,0,0,0,0,0,no,0,0,0,2.207,57,1,0,0,0,5,small
0,0,1,0,0,0,0,5,no,0,0,1,18.037,345,1,0,1,0,20,small
0,0,1,0,0,0,0,21,no,0,0,0,16.647,560,1,0,0,0,3,small
0,1,1,3,0,0,0,0,no,0,0,0,31.644,569,1,1,0,0,2,big
0,0,1,0,0,0,0,0,no,0,0,0,1.566,39,0,1,0,0,3,small
0,0,1,1,0,0,0,0,no,0,0,0,45.842,881,1,1,0,0,5,big
0,0,1,0,0,0,0,0,no,0,0,0,2.317,30,0,0,0,0,0,big
0,1,1,1,0,0,0,0,no,1,0,0,33.451,558,1,1,0,0,6,big
0,0,1,6,0,0,0,0,no,0,0,0,13.266,269,0,1,0,0,2,small
0,1,1,0,0,0,0,0,no,0,0,0,2.196,57,1,1,0,0,1,small
0,0,1,4,0,0,0,0,no,0,0,0,11.438,125,0,1,0,0,2,small
0,0,1,5,0,0,0,0,no,0,0,0,12.268,259,0,1,0,0,2,small
0,1,1,0,0,0,0,0,no,0,0,0,2.018,32,0,1,0,0,0,small
0,1,1,2,0,0,0,0,no,0,0,0,7.813,97,0,1,0,0,1,small
